54,38,25
738,115,68
125,60,30
201,58,40
243,61,60
112,141,50
126,100,80
409,34,60
103,265,60
66,41,52
72,31,52
310,1094,50
283,74,52
72,64,32
395,197,52
180,42,60
70,56,25
158,94,60
174,134,52
179,45,58
254,147,40
329,61,35
118,37,25
370,1553,80
42,54,30
283,91,50
113,46,52
1179,97,100
167,50,52
210,39,46
291,115,60
201,2440,49
39,55,25
264,124,148
456,176,52
55,3584,25
311,59,52
91,31,70
89,27,52
506,68,52
98,42,40
169,30,45
91,38,63
320,70,70
274,111,75
90,31,52
164,7372,50
79,137,55
240,26,30
88,63,25
662,72,50
242,136,50
100,43,25
83,83,52
309,164,68
59,44,25
57,30,25
1280,42,50
202,98,60
245,69,25
264,30,52
338,3009,150
218,85,62
68,50,25
256,37,25
208,133,25
88,69,52
305,30,98
135,246,48
139,193,52
140,92,60
130,49,28
74,130,62
83,57,25
273,85,55
137,28,38
124,71,30
105,108,58
163,33,42
277,81,52
141,27,52
92,35,52
271,45,45
485,59,52
93,49,30
490,322,53
481,1189,28
172,125,60
90,69,52
345,55,58
171,112,52
72,38,25
222,82,52
59,47,100
127,40,52
110,43,52
67,47,52
80,29,50
549,186,45
189,83,52
101,181,25
449,39,52
159,4559,50
188,27,30
195,392,61
142,44,44
105,26,55
242,93,52
75,71,35
102,46,52
309,72,100
125,2609,25
127,36,52
42,2710,25
91,35,58
158,70,50
108,24,30
353,128,50
220,39,42
127,45,52
154,34,52
161,3398,75
331,54,50
317,45,50
155,83,52
91,39,100
533,114,100
162,76,40
66,34,25
28,103,25
79,47,60
136,22,52
258,53,50
83,2889,25
938,68,68
131,53,52
182,1223,78
195,34,50
135,146,60
314,64,60
260,71,52
61,41,100
616,23,50
94,58,60
54,40,52
125,32,30
125,455,50
268,44,100
70,140,30
129,22,35
586,727,30
171,28,50
121,26,50
297,271,65
210,75,52
287,221,40
176,98,30
66,44,25
285,33,25
148,28,48
521,36,52
262,97,100
112,1644,30
12,96,58
464,3934,100
80,34,25
174,55,65
347,102,52
166,31,48
192,70,26
84,102,25
118,59,25
232,72,98
175,42,52
294,42,25
67,73,25
222,42,68
69,20,25
31,27,25
48,86,25
160,44,45
224,27,52
121,48,55
137,107,30
76,25,25
232,106,52
280,130,58
100,96,53
110,43,52
568,41,25
298,32,52
186,68,52
316,48,25
350,157,52
223,92,35
102,44,52
179,36,30
106,26,52
366,86,52
91,71,52
414,54,50
162,23,30
55,25,25
144,104,52
110,76,40
202,1001,25
118,186,58
24,77,40
136,49,25
93,55,49
55,95,52
234,76,50
269,67,52
230,79,52
385,95,50
285,61,52
255,100,100
24,47,52
60,24,25
162,35,40
314,59,33
122,135,52
63,37,40
255,976,52
52,120,52
157,59,52
194,41,50
359,74,50
111,683,52
298,71,50
72,23,25
263,116,62
159,68,52
60,60,60
116,98,60
200,1167,50
277,116,80
99,134,52
120,53,49
200,27,25
69,102,52
107,32,25
234,269,52
75,120,30
238,123,52
51,57,40
85,88,60
78,61,52
223,24,25
216,50,60
294,29,65
571,125,200
187,134,65
52,176,28
198,61,52
73,40,30
138,57,100
183,218,48
123,39,100
182,95,38
228,590,50
43,44,80
716,251,120
106,60,52
252,40,52
191,228,25
179,93,52
266,65,60
58,76,52
76,99,30
340,32,63
143,52,52
194,52,35
111,106,25
415,71,60
66,41,50
317,93,60
200,120,30
219,37,60
917,44,40
214,72,68
123,63,52
256,55,52
250,33,52
121,34,25
153,49,52
131,35,52
53,29,25
90,81,25
470,1090,43
223,135,40
178,40,50
324,44,70
36,30,53
78,63,70
126,180,38
167,82,30
397,43,25
161,45,52
320,133,70
227,52,120
141,360,75
204,40,30
200,99,35
177,37,30
307,74,52
69,114,60
152,87,48
247,42,70
167,225,50
233,90,42
222,99,52
120,42,26
432,47,55
314,32,70
96,53,25
475,65,52
159,28,52
182,42,52
78,226,45
69,119,52
132,30,75
659,64,70
200,114,52
410,56,52
56,40,41
128,59,60
89,81,52
448,557,50
197,35,30
438,30,50
55,135,50
377,35,30
78,33,70
556,832,52
141,30,25
272,80,52
190,103,50
482,186,33
133,75,52
204,95,52
354,187,52
168,108,25
112,62,30
232,32,40
178,33,40
147,45,62
117,72,50
156,90,30
560,39,75
353,2898,27
74,88,48
213,133,63
314,75,25
244,4946,31
211,133,50
407,40,52
60,135,40
166,40,60
196,515,35
180,195,100
157,299,25
85,48,26
437,42,60
187,57,38
110,34,52
186,53,52
98,24,28
53,72,52
228,32,33
159,738,60
90,49,52
176,59,52
488,50,52
154,103,70
285,1003,45
706,26,35
239,81,33
79,25,40
113,83,52
594,44,50
452,97,85
114,49,38
349,68,35
68,33,52
205,48,65
242,42,100
175,84,25
84,34,30
134,99,75
163,47,30
565,74,92
492,122,65
29,47,30
90,44,25
74,69,45
274,1180,43
100,62,52
76,58,52
354,23,48
486,57,60
121,110,35
368,2690,55
283,41,68
126,37,25
412,62,70
390,156,58
155,71,60
128,122,52
96,45,25
225,77,28
428,74,35
505,1519,52
65,51,48
252,50,58
426,109,80
500,60,52
144,40,55
230,59,60
138,1057,52
154,23,25
245,81,52
121,30,50
202,104,100
252,123,49
67,85,52
203,30,32
321,27,30
329,27,52
260,42,25
242,104,40
159,46,52
120,34,25
111,55,60
178,31,48
253,102,30
31,27,28
68,117,52
109,23,35
194,59,25
67,2875,57
183,69,52
216,69,80
427,52,60
120,2712,52
164,127,48
636,47,52
77,105,48
299,193,45
230,44,55
123,62,33
293,118,30
162,104,35
156,184,35
35,23,25
660,77,65
127,71,52
120,85,52
180,26,52
141,200,52
115,46,35
88,29,75
84,102,52
52,91,48
436,82,40
98,135,30
110,132,70
62,71,30
72,22,33
257,30,30
212,48,52
201,39,53
133,61,30
192,32,52
268,30,30
184,36,52
35,26,48
157,77,28
487,83,65
80,122,52
106,48,52
40,90,98
124,42,25
216,61,35
114,45,58
96,91,52
85,39,48
357,39,165
309,60,52
109,61,36
48,39,52
103,50,25
134,46,52
177,82,48
163,44,40
135,38,30
107,103,200
125,87,50
180,48,25
284,55,48
118,61,40
167,57,50
177,26,35
81,40,25
98,68,65
832,134,35
275,70,25
45,74,30
256,126,60
182,647,70
458,103,70
42,136,52
133,38,25
114,140,48
84,35,40
220,63,48
80,27,25
168,141,50
121,91,55
234,26,52
338,41,52
227,51,55
201,2860,50
244,41,60
125,52,60
104,36,30
188,65,48
137,45,25
293,79,52
483,67,80
95,85,48
206,67,25
80,114,40
623,34,40
85,339,28
257,69,52
32,31,35
359,1485,60
317,93,100
120,77,50
118,700,25
68,40,48
60,57,48
161,34,53
374,68,35
74,27,25
402,110,25
209,24,30
192,41,25
785,96,60
81,24,25
148,94,35
135,102,60
179,44,50
177,124,30
55,140,40
327,161,52
144,117,35
108,150,60
118,66,52
412,34,60
246,40,50
126,29,25
88,35,60
72,30,25
180,125,40
148,48,30
220,27,30
224,8296,80
167,118,52
302,410,30
541,94,52
501,41,80
69,56,25
417,1399,30
164,49,50
151,33,25
52,75,26
129,93,50
87,95,25
95,71,40
146,45,90
83,72,35
162,346,40
105,33,45
235,105,30
116,554,35
236,97,30
194,90,52
111,77,28
248,60,30
93,80,45
140,98,52
88,50,65
155,157,77
179,197,51
170,41,52
314,353,68
69,129,30
215,70,52
165,136,40
30,3038,25
200,98,30
369,135,68
109,23,25
185,23,65
93,22,25
684,56,50
93,45,25
247,112,40
301,134,45
507,95,45
202,78,72
166,65,81
50,100,52
167,38,25
103,55,60
222,53,70
632,2413,60
113,42,30
145,70,30
172,49,60
305,42,30
321,127,45
122,88,40
114,76,48
176,61,55
241,806,50
34,28,48
189,65,35
71,40,50
67,222,52
82,77,70
79,36,52
636,1260,30
63,353,53
66,37,72
270,96,48
204,730,40
112,95,30
135,53,52
49,45,25
291,135,52
147,78,45
112,81,45
194,172,25
215,104,30
195,335,30
508,43,100
187,61,25
59,27,25
393,65,52
80,40,51
93,61,50
85,74,45
112,94,48
290,80,60
79,93,25
286,29,40
202,576,52
93,77,30
323,162,25
381,710,35
288,138,60
80,32,30
197,114,25
194,69,60
96,61,30
69,44,40
123,31,30
244,94,50
58,44,39
86,128,50
134,548,25
81,83,52
156,65,30
104,2406,25
205,78,30
131,126,25
65,195,25
63,20,25
353,77,33
547,169,90
54,177,52
229,45,52
89,26,25
119,118,48
131,84,25
53,25,40
340,96,60
52,30,52
129,513,25
204,45,75
247,56,52
258,32,28
178,38,25
127,75,50
312,118,25
154,1017,50
132,93,35
76,83,40
515,66,40
274,94,30
645,37,35
184,465,42
68,72,35
152,119,48
216,92,80
125,41,52
347,443,40
112,45,35
142,56,30
150,97,30
96,738,60
108,35,52
296,96,52
93,38,52
327,271,50
137,105,52
799,61,70
215,65,40
481,78,40
283,211,65
196,59,63
410,61,45
387,51,78
177,39,57
124,89,40
37,69,45
108,123,40
211,120,52
121,96,52
352,525,48
120,94,36
41,29,25
88,75,58
103,44,51
151,755,52
79,26,25
295,76,100
294,105,100
219,267,25
210,67,65
98,31,25
80,169,30
156,38,40
574,67,48
60,88,30
57,30,25
237,116,52
115,213,55
474,67,60
176,99,60
111,35,50
259,105,70
97,34,25
138,116,52
147,573,48
75,27,40
205,137,68
217,72,52
68,52,50
431,79,40
97,628,25
167,63,25
158,58,80
74,110,60
518,92,52
110,26,25
84,93,52
534,118,52
109,40,45
178,41,45
74,32,40
311,87,52
167,40,35
73,78,25
508,91,55
172,40,40
156,195,52
202,70,52
160,100,35
244,103,52
194,90,25
97,57,40
721,42,70
192,126,30
106,138,40
464,655,35
171,52,48
67,42,48
